Date,Title,News,Author,Source
"September 7, 2023 17:59 IST",Jupiter Life IPO subscribed 3.30 times on day two of offer,"The initial public offering (IPO) of multi-speciality hospital chain Jupiter Life Line Hospitals Limited was subscribed 3.30 times on day two of bidding on Thursday.The portion for non-institutional investors was subscribed 6.63 times, the quota for Retail Individual Investors (RIIs) was subscribed 3.08 times and the category for Qualified Institutional Buyers (QIBs) received 1.12 times subscription.The IPO has a fresh issue of equity shares worth Rs 542 crore and an offer for sale of up to 44.50 lakh equity shares.The offer is in a price range of Rs 695-735 a share.Jupiter Life Line Hospitals on Tuesday said it has raised Rs 261 crore from anchor investors.Proceeds of the fresh issue will be utilised to retire debt and for general corporate purposes.The hospital chain operates in Thane, Pune and Indore under the ‘Jupiter’ brand with a total bed capacity of 1,194 as of December 2022.It is also in the process of developing a multi-specialty hospital in Dombivli, Maharashtra.",PTI,FINANCIAL EXPRESS
"September 7, 2023 17:52 IST",Rupee falls 9 paise to settle at all-time low of 83.22 against US dollar,"The rupee depreciated for the fourth straight day and settled 9 paise lower at its lifetime low of 83.22 (provisional) against the US dollar on Thursday amid a firm American currency and elevated crude oil prices.Positive trend in the domestic equity markets, however, provided a cushion to the rupee, according to forex traders.Crude oil breached the USD 90 per barrel-mark after oil producing countries agreed to extend supply cut till December this year while dollar stayed firm on safe-haven demand.At the interbank foreign exchange, the domestic unit opened at 83.15 against the dollar and traded in the range of 83.12 to 83.22 against the greenback. It ended at the lowest level of 83.22 (provisional) against the dollar, registering a fall of 9 paise from its previous close.On Wednesday, the rupee settled 9 paise lower at 83.13 against the dollar. Earlier, the Indian currency had closed at the same level of 83.13 on August 21.The domestic unit has declined 60 paise since Monday when it had closed 9 paise lower at 82.71 against the greenback. On Tuesday, the unit had plunged 33 paise, the sharpest fall this week.“We expect rupee to trade with a negative bias on strong dollar and elevated crude oil prices. Disappointing European data may further support dollar. Rising US treasury yields and concerns over global economic growth may also weigh on rupee,” Anuj Choudhary – Research Analyst at Sharekhan by BNP Paribas, said.Meanwhile, the dollar index, which gauges the greenback’s strength against a basket of six currencies, rose by 0.09 per cent to 104.95.Brent crude futures, the global oil benchmark, was trading 0.39 per cent lower at USD 90.25 per barrel.Foreign Institutional Investors (FIIs) were net sellers in the capital market on Wednesday as they offloaded shares worth Rs 3,245.86 crore, according to exchange data.",PTI,FINANCIAL EXPRESS
"September 7, 2023 14:27 IST","Nifty short-term trend continues to be positive, may target 19800-19900; buy these stocks to pocket gains","By Nagaraj ShettiAfter showing a gradual upmove in the last couple of sessions, Nifty continued with upside  momentum on Wednesday amidst high volatility and closed the day higher by 36 points. After  opening with a flat note, the market has slipped into weakness in the early part of the session.  The buying has emerged from the day’s low of 19491 levels and the upside recovery got  strengthened towards the later part of the session and Nifty closed near the highs. A small positive candle was formed on the daily chart with minor upper and long lower shadow.  Technically, this pattern reflects high volatility in the market. Post the upside breakout of  crucial resistance of the down sloping trend line at 19,450 levels recently, the Nifty manages to  move up consistently with the formation of lower shadows in the last three sessions candles.  The upside breakout of trend line resistance remains intact. The short-term trend of Nifty continues to be positive. One may expect further upside in the  coming sessions. Any dips down to the immediate support of 19,500 is likely to be a buy on dips opportunity. The next upside levels to be watched are around 19,800-19,900 for the near term. Buying can be initiated in Hikal at CMP (Rs 313), add more on dips down to Rs 303, wait for  the upside targets of Rs 344 and Rs 375 in the next 3-5 weeks. Place a stoploss of Rs 289. One may look to buy Aarti drugs at CMP (Rs 611), add more on dips down to Rs 590 and  wait for the upside targets of Rs 672 and Rs 740 in the next 3-5 weeks. Place a stoploss of Rs  565.",Guest,FINANCIAL EXPRESS
"Updated: September 7, 2023 13:46 IST","Midcaps at lifetime highs, smallcap stocks outperform broader markets; can this performance sustain?","The Nifty Midcap index has been on an impressive run, recently crossing the psychological milestone of 40,000 points. Nifty Midcap 100 hit a fresh record high today at 40,540.95. Over the last six months, it witnessed a remarkable surge of approximately 35%, demonstrating its resilience in a market marked by volatility, while the smallcap index soars above the 12,000 mark to capture around 40% gain since March 2023. Arvinder Singh Nanda, Senior Vice President at Master Capital Services, attributed this impressive performance to several factors. One significant driver was the growing risk appetite among investors, driven by improving economic health and domestic developments. Midcap stocks were often seen as closely tied to economic growth, offering the potential for lucrative returns. As such, they had become a favored choice for investors seeking to capitalize on India’s economic resurgence.Liquidity also played a pivotal role in bolstering investor confidence in midcap stocks. The increased liquidity in these stocks attracted more investors, further fueling the rally. However, Ajit Mishra, SVP of Technical Research at Religare Broking, issued a caution, saying that there are overbought indications in the midcap space. This suggested that while the midcap rally was impressive, prudent stock selection was crucial in navigating the then-current market conditions.In tandem with the midcap rally, the Nifty Smallcap index had been on an equally impressive trajectory. It had soared past the 12,000 mark, registering gains of approximately 40% since March 2023. This extraordinary ascent had positioned smallcap stocks as a hotbed of opportunity for investors.Some market experts argued that India’s market dynamics had shifted towards being more stock to sector-oriented. They anticipated that, in the medium to long term, the small and midcap categories as a whole would continue to outperform. While these segments had exhibited robust short-term performance, sustaining this momentum had presented challenges.",Zoya Springwala,FINANCIAL EXPRESS
"September 6, 2023 09:44 IST","Nifty upside target seen at 19620-19650; TCS, Bajaj Auto, Bharti Airtel among top stocks to buy","By Shrikant ChouhanThe benchmark indices continued positive momentum for the third day in a row, the Nifty ended 49 points higher while the Sensex was up by 152 points. Among Sectors, the Media index was the top gainer, rallying over 3% whereas intraday profit booking was seen in banking and selective Auto stocks. Technically, after a sharp reversal, the index is comfortably trading above 50 and 20-day SMA (Simple Moving Average), and on intraday charts it has consistently formed a higher bottom formation, which is largely positive. For the trend-following traders now, 19,500 would be the sacrosanct support zone. Above the same, the index could move up to 19,620-19,650. On the flip side, below 19,500 bulls may prefer to exit from the trading long positions. Below 19,500 the index could slip to 19,450-19,420.For the last few sessions, the counter was stuck in a range-bound movement and presently we witnessed a range breakout on a daily scale. Moreover, the closing above its resistance zone along with decent volume activity suggests that the counter has good potential for further upside in the near future.The stock has underperformed in the past few weeks and it has witnessed a downtrend. After the sharp correction from higher levels, the stock is currently trading in a range-bound mode, which indicates for accumulation at these levels. Therefore, upward movement from the current level is expected to resume in the coming sessions.The stock witnessed a gradual decline from the higher levels in the past few sessions. However, the downside seems to be restricted due to the multiple support zone. Recent reversal formation with decent volume activity indicates the counter is further gaining bullish traction. Hence, we expect the uptrend to resume from the current levels.The stock has shown a remarkable rally from the lows recently, and the trend of the stock is still in the rising direction. The higher high and higher low series on daily chart formation is evident in the stock. Hence, the formation is indicating a bullish continuation pattern to continue in the near term.(Shrikant Chouhan, Head of Equity Research (retail), Kotak Securities. Views expressed are the analyst’s own. Please consult your financial advisor before investing.)",Guest,FINANCIAL EXPRESS
"September 5, 2023 12:12 IST","Markets undergoing correction for past month, select heavyweights outperform; US markets to drive global cues","By Ajit MishraMarkets have been maintaining a corrective tone for over one and a half months now. However, buying in select heavyweights combined with noticeable outperformance of the broader indices is not only capping the pace of decline but also offering regular buying opportunities. Amid all, mixed signals from the global front are keeping the participants guessing over the next directional move. In short, we are seeing more time wise corrections in the benchmark index, after a phenomenal surge. Going ahead, the performance of the global markets, especially the US, will remain on the radar for cues, in the absence of any major domestic event. Though we have witnessed a decent rebound in the Dow Jones Industrial Average (DJIA) in the past week, we need a decisive close above 35,300 in the Dow Jones Industrial Average (DJIA) for any meaningful recovery. In case of a decline, it should hold the 33800-34250 zone. While the benchmark is not offering any clear signal over the next directional move, participants should stay focused on stock-specific opportunities based on the sectoral trend. Among the key indices, we suggest preferring auto, metal and IT for long trades while pharma and FMCG may continue to trade lackluster. Needless to say, the consistent outperformance of the midcap and smallcap is the highlight of the recent corrective phase but traders shouldn’t go overboard and stick only with the fundamentally sound counters, even for short term trading.Nifty has managed to hold 19,200 despite multiple attempts of breakdown in the last three weeks and that may help the bulls to reclaim the lost ground ahead. However, it would be early to say that the trend has reversed until we decisively cross and sustain 19,650 levels.The banking index has also been witnessing volatile swings while hovering within 43600-45000 for the last 3 weeks. We feel the prevailing mixed trend among the private banking majors would result in further consolidation ahead. Meanwhile, traders should stay selective and prefer stocks that are showing relatively higher strength within the sector.(Ajit Mishra, SVP- Technical Research, Religare Broking. Views expressed are the author’s own. Please consult your financial advisor before investing.)",Guest,FINANCIAL EXPRESS
"September 7, 2023 11:47 IST","With rupee near record low, RBI steps up NDF intervention","The banker said the RBI has been intervening in the NDF market via the BIS (Bank of International Settlements) and a large U.S.-based bank. NDFs are offshore dollar-settled currency derivatives used by investors with limited access to onshore markets to hedge their exposure or speculate.The sources requested to not be named as they are not authorized to speak to the media. The RBI and BIS did not immediately reply to a Reuters email seeking comment.“Several times we have been hit by the BIS (on the trading system). At times, we see (Indian) public sector bank names,” the head of proprietary trading at a foreign bank said. The RBI’s intervention, he further noted, was not limited to the Asia session. “During the New York session, if there is a sense of the USD/INR pushing higher, the RBI steps in.”During the U.S. trading hours on Wednesday, the 1-month USD/INR NDF rose to 83.44 — following the robust U.S. services data — which implies a spot rate of around 83.35. By the time local OTC markets opened on Thursday, the contract had retreated to 83.20 and the spot opened at 83.12. Apart from NDF, the central bank has been likely supplying dollars via public sector banks in the local OTC market, traders said.",Reuters,FINANCIAL EXPRESS
"September 7, 2023 11:38 IST",GAIL to tap spot LNG markets to meet surge in power demand,"GAIL (India) Ltd will tap spot liquefied natural gas (LNG) markets to address surging power demand, an executive at the state-run company said on Thursday, as the Indian government calls for more supplies to address an electricity crunch.Much of India’s domestic gas supply is already committed, Sanjay Kumar, marketing director at India’s top distributor of natural gas, said on the sidelines of the Gastech conference.“So if there is actually demand, we will buy,” Kumar said, declining to comment on volumes. “We have been servicing the demand for the last one month also. Demand is already there,” he said.Over half of India’s roughly 25 gigawatts (GW) of gas-fired power capacity is non-operational because of relatively high LNG prices. The share of gas-fired power in overall output has fallen from an average of over 3% in the last decade to less than 2% currently because of the high prices.Kumar told the conference that the LNG market is likely to remain “slightly soft” for the next two or three years.“And that gives us comfort. We believe that we will mostly be working through long-term contracts to the extent required for meeting seasonal demand. For unseasonal volatility in demand, we will manage through the market,” he said.India is seeking additional volumes of natural gas and has asked utilities to expedite completion of power plant maintenance as part of emergency steps to stop electricity outages, according to a government note dated Sept. 5 and reviewed by Reuters.",Reuters,FINANCIAL EXPRESS
"September 7, 2023 10:17 IST",Ratnaveer Precision Engineering IPO subscribed 93.96 times on last day of subscription,"The Initial Public Offering (IPO) of Ratnaveer Precision Engineering Limited was subscribed 93.96 times on the last day of subscription on Wednesday, riding high on encouraging participation from institutional investors.The company is a stainless steel washer manufacturer and supplier. The share sale received bids for 110.76 crore shares against 1.17 crore shares on offer, as per NSE data.The portion for non-institutional investors was subscribed 135.20 times and that of Qualified Institutional Buyers (QIBs) received 133.05 times subscription. The quota for Retail Individual Investors (RIIs) got subscribed 53.95 times.The IPO was a combination of fresh issue and offer for sale. The public issue of 1,68,40,000 equity shares had a fresh issue of 1,38,00,000 equity shares and an offer for sale of up to 30,40,000 equity shares. Price range for the offer was Rs 93-98 a share. Unistone Capital was the manager to the offer.",PTI,FINANCIAL EXPRESS
"September 7, 2023 10:11 IST",Rupee falls 2 paise to hit lowest level of 83.15 against US dollar,"The rupee fell 2 paise to hit the lowest level of 83.15 against the US dollar in early trade on Thursday amid a strong American currency and elevated crude oil prices.Forex traders said, massive selling of equities by foreign investors in the past few sessions and subdued market sentiment also put pressure on the Indian currency.Crude oil breached the level of USD 90 per barrel after oil producing countries agreed to extend supply cut till December this year, while dollar strengthened on safe-haven demand.At the interbank foreign exchange, the domestic unit opened at 83.15 against the dollar, 2 paise lower from its previous close. The unit traded in a narrow range of 83.14 to 83.16 against the greenback.On Wednesday, the rupee declined by 9 paise to close at 83.13 against the dollar. Earlier, the rupee had touched the level of 83.13 on August 21 this year.Meanwhile, the dollar index, which gauges the greenback’s strength against a basket of six currencies, fell marginally by 0.01 per cent to 104.85. Brent crude futures, the global oil benchmark, was trading 0.21 per cent lower at USD 90.41 per barrel.",PTI,FINANCIAL EXPRESS
